"Actual","Predicted","nPredictions"
"airplane","airplane","90"
"airplane","automobile","0"
"airplane","bird","0"
"airplane","cat","0"
"airplane","deer","0"
"airplane","dog","1"
"airplane","frog","1"
"airplane","horse","2"
"airplane","ship","5"
"airplane","truck","1"
"automobile","airplane","3"
"automobile","automobile","79"
"automobile","bird","0"
"automobile","cat","0"
"automobile","deer","0"
"automobile","dog","1"
"automobile","frog","2"
"automobile","horse","2"
"automobile","ship","2"
"automobile","truck","11"
"bird","airplane","6"
"bird","automobile","0"
"bird","bird","51"
"bird","cat","6"
"bird","deer","7"
"bird","dog","11"
"bird","frog","9"
"bird","horse","7"
"bird","ship","3"
"bird","truck","0"
"cat","airplane","2"
"cat","automobile","0"
"cat","bird","3"
"cat","cat","63"
"cat","deer","3"
"cat","dog","17"
"cat","frog","5"
"cat","horse","3"
"cat","ship","2"
"cat","truck","2"
"deer","airplane","3"
"deer","automobile","0"
"deer","bird","2"
"deer","cat","3"
"deer","deer","72"
"deer","dog","1"
"deer","frog","6"
"deer","horse","10"
"deer","ship","3"
"deer","truck","0"
"dog","airplane","1"
"dog","automobile","0"
"dog","bird","2"
"dog","cat","11"
"dog","deer","1"
"dog","dog","72"
"dog","frog","5"
"dog","horse","7"
"dog","ship","0"
"dog","truck","1"
"frog","airplane","2"
"frog","automobile","0"
"frog","bird","2"
"frog","cat","3"
"frog","deer","1"
"frog","dog","3"
"frog","frog","88"
"frog","horse","1"
"frog","ship","0"
"frog","truck","0"
"horse","airplane","4"
"horse","automobile","0"
"horse","bird","0"
"horse","cat","0"
"horse","deer","3"
"horse","dog","1"
"horse","frog","0"
"horse","horse","91"
"horse","ship","0"
"horse","truck","1"
"ship","airplane","14"
"ship","automobile","3"
"ship","bird","0"
"ship","cat","0"
"ship","deer","0"
"ship","dog","0"
"ship","frog","0"
"ship","horse","0"
"ship","ship","80"
"ship","truck","3"
"truck","airplane","4"
"truck","automobile","2"
"truck","bird","0"
"truck","cat","2"
"truck","deer","1"
"truck","dog","1"
"truck","frog","0"
"truck","horse","1"
"truck","ship","2"
"truck","truck","87"
